class,cap-shape,cap-surface,cap-color,bruises,gill-attachment,gill-spacing,gill-color,ring-type,habitat

p,x,s,n,t,f,c,k,p,u

e,x,s,y,t,f,c,k,p,g

e,b,s,w,t,f,c,n,p,m

p,x,y,w,t,f,c,n,p,u

e,x,s,g,f,f,w,k,e,g

e,x,y,y,t,f,c,n,p,g

e,b,s,w,t,f,c,g,p,m

e,b,y,w,t,f,c,n,p,m

p,x,y,w,t,f,c,p,p,g

e,b,s,y,t,f,c,g,p,m

e,x,y,y,t,f,c,g,p,g

e,x,y,y,t,f,c,n,p,m

e,b,s,y,t,f,c,w,p,g

p,x,y,w,t,f,c,k,p,u

e,x,f,n,f,f,w,n,e,g

e,s,f,g,f,f,c,k,p,u

e,f,f,w,f,f,w,k,e,g

p,x,s,n,t,f,c,n,p,g

p,x,y,w,t,f,c,n,p,u

p,x,s,n,t,f,c,k,p,u

e,b,s,y,t,f,c,k,p,m

p,x,y,n,t,f,c,n,p,g

e,b,y,y,t,f,c,k,p,m

e,b,y,w,t,f,c,w,p,m

e,b,s,w,t,f,c,g,p,m

p,f,s,w,t,f,c,n,p,g

e,x,y,y,t,f,c,n,p,m

e,x,y,w,t,f,c,w,p,m

e,f,f,n,f,f,c,k,p,u

e,x,s,y,t,f,w,n,p,d

e,b,s,y,t,f,c,g,p,m

p,x,y,w,t,f,c,k,p,u

e,x,y,y,t,f,c,n,p,m

e,x,y,n,t,f,c,p,p,p

e,b,y,y,t,f,c,n,p,m

e,x,f,y,t,f,w,w,p,d

e,s,f,g,f,f,c,k,p,u

p,x,y,n,t,f,c,w,p,u

e,x,f,y,t,f,w,p,p,d

e,b,s,y,t,f,c,k,p,m

e,b,y,y,t,f,c,n,p,g

e,x,y,y,t,f,c,n,p,p

e,x,f,n,f,f,c,g,p,u

p,x,y,w,t,f,c,p,p,g

e,x,s,y,t,f,c,w,p,m

e,x,y,w,t,f,c,n,p,g

e,x,y,y,t,f,c,k,p,m

e,x,s,w,t,f,c,w,p,m

e,x,y,y,t,f,c,n,p,p

e,f,y,y,t,f,c,w,p,p

e,x,y,n,t,f,c,w,p,g

e,x,s,w,t,f,c,k,p,g

e,b,s,w,t,f,c,k,p,m

p,x,y,n,t,f,c,k,p,u

p,x,s,w,t,f,c,k,p,u

e,b,y,y,t,f,c,w,p,m

e,f,f,g,f,f,w,n,e,g

e,b,s,w,t,f,c,w,p,g

e,x,s,y,t,f,c,k,p,g

e,x,y,n,t,f,c,p,p,p

e,s,f,g,f,f,c,k,p,u

e,b,y,y,t,f,c,k,p,m

e,b,s,y,t,f,c,g,p,m

e,b,y,y,t,f,c,g,p,m

e,b,y,w,t,f,c,n,p,g

e,f,s,n,f,f,w,k,e,g

e,x,s,w,t,f,c,n,p,g

e,f,y,y,t,f,c,w,p,g

e,x,y,y,t,f,c,w,p,g

e,x,f,g,f,f,c,p,p,u

e,f,f,y,t,f,w,p,p,d

e,b,y,w,t,f,c,g,p,m

e,f,f,y,t,f,w,w,p,d

e,x,y,n,t,f,c,p,p,p

e,b,s,y,t,f,c,k,p,g

e,f,s,y,t,f,w,p,p,d

e,x,s,w,t,f,w,n,p,d

e,f,y,n,t,f,c,p,p,p

p,x,y,n,t,f,c,w,p,u

e,f,y,n,t,f,c,n,p,g

e,x,s,n,f,f,w,k,e,g

p,x,y,w,t,f,c,w,p,g

e,f,f,g,f,f,c,n,p,u

e,x,f,g,f,f,w,n,e,g

e,x,y,y,t,f,c,w,p,g

e,x,s,n,f,f,w,k,e,g

e,b,s,w,t,f,c,w,p,g

e,x,s,w,t,f,c,n,p,g

e,f,y,n,t,f,c,w,p,g

e,s,f,n,f,f,c,n,p,u

e,x,f,n,f,f,c,n,p,u

e,b,s,w,t,f,c,k,p,g

e,x,y,y,t,f,c,g,p,g

e,x,y,y,t,f,c,g,p,m

e,x,s,n,f,f,w,n,e,g

e,x,s,w,t,f,c,g,p,g

e,f,y,n,t,f,c,p,p,g

e,x,s,y,t,f,c,n,p,g

e,b,s,w,t,f,c,g,p,g

e,x,y,w,t,f,c,g,p,g

e,x,f,n,f,f,w,p,e,g

e,b,s,y,t,f,c,n,p,g

e,f,y,y,t,f,c,w,p,g

e,x,y,y,t,f,c,n,p,p

e,b,y,w,t,f,c,g,p,g

e,x,y,y,t,f,c,n,p,m

e,x,y,y,t,f,c,w,p,g

e,b,y,w,t,f,c,n,p,m

e,b,y,w,t,f,c,g,p,m

e,x,s,y,t,f,c,k,p,m

e,x,s,y,t,f,c,w,p,g

e,s,f,g,f,f,c,g,p,u

e,x,f,w,t,f,w,w,p,d

e,x,s,y,t,f,c,n,p,m

p,x,y,w,t,f,c,n,p,u

e,x,y,y,t,f,c,p,p,g

e,s,f,g,f,f,c,p,p,u

e,x,y,y,t,f,c,w,p,g

e,x,s,y,t,f,w,p,p,d

e,s,f,n,f,f,c,k,p,u

p,x,s,w,t,f,c,k,p,g

e,x,y,w,t,f,c,g,p,m

p,f,y,n,t,f,c,p,p,g

e,f,s,g,f,f,w,k,e,g

e,x,s,y,t,f,c,g,p,m

e,x,s,w,f,f,w,n,e,g

e,b,s,y,t,f,c,w,p,g

e,f,f,g,f,f,w,h,e,g

e,x,s,w,t,f,c,n,p,g

e,b,s,w,t,f,c,n,p,m

e,b,s,w,t,f,c,w,p,g

e,b,y,w,t,f,c,w,p,m

e,f,s,w,t,f,w,w,p,d

e,x,y,y,t,f,c,g,p,m

e,f,s,w,t,f,w,p,p,d

p,x,y,w,t,f,c,w,p,u

e,f,f,w,t,f,w,w,p,d

e,x,y,y,t,f,c,n,p,g

p,x,s,n,t,f,c,p,p,g

e,b,s,y,t,f,c,w,p,g

e,x,y,n,t,f,c,w,p,p

e,b,y,y,t,f,c,g,p,m

e,s,f,n,f,f,c,k,p,u

e,f,y,n,t,f,c,w,p,p

e,x,y,y,t,f,c,k,p,g

e,x,f,g,f,f,w,k,e,g

e,f,f,w,f,f,w,k,e,g

