class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season
0,1.26,0,0,0,0,0,0,0,5.04,1.73,0,0,0,0,0
0,10.32,1,1,1,0,1,0,1,4.68,19.44,1,1,0,0,0
1,0.92,0,0,2,0,1,0,2,4.59,1.15,2,0,0,0,1
1,4.27,0,2,2,0,2,0,0,4.55,6.52,1,0,0,0,0
0,3.08,1,3,3,0,0,1,0,2.67,5.18,1,0,0,1,0
1,1.31,2,3,0,0,3,2,3,3.2,5.39,0,0,0,0,0
1,2.58,1,2,4,0,1,0,4,4.87,6.19,0,0,0,0,0
1,18.52,1,4,3,1,0,1,0,6.94,29.1,1,0,0,0,0
0,10.89,0,3,5,1,4,0,5,8.03,17.11,1,1,1,1,0
0,5.64,0,5,0,1,2,0,4,7.55,15.69,1,0,0,0,1
0,8.84,0,2,5,1,5,0,5,7.97,16.35,3,1,2,0,1
0,1.51,1,6,6,0,1,1,6,5.2,2.57,1,0,0,2,2
0,10.62,0,2,5,1,1,0,0,13.97,18.09,1,1,3,0,1
1,3.31,0,2,5,0,6,0,5,6.18,10.09,1,1,4,0,1
1,7.26,0,1,7,0,1,0,5,10.07,12.07,4,1,4,0,0
1,6.82,0,2,5,1,2,0,7,8.15,19.87,5,0,0,0,0
1,2.47,0,3,8,0,0,0,8,3.04,5.44,6,0,0,3,0
1,5.75,3,7,0,0,1,0,5,7.01,9.12,1,0,0,0,0
0,5.5,0,8,6,0,6,0,0,4.83,7.96,1,0,0,0,1
1,17.48,1,4,5,0,0,0,4,6.68,45.72,2,0,0,0,0
1,6.14,4,3,5,0,1,0,0,0.0,0.0,7,0,0,0,0
0,8.18,1,3,0,0,0,1,0,7.89,13.46,3,1,0,0,0
1,3.31,1,3,8,0,0,0,4,3.1,6.53,6,0,0,3,0
0,1.41,0,0,5,0,0,0,0,4.81,1.83,0,0,0,0,0
1,1.01,0,0,3,0,1,1,0,3.21,1.77,3,0,0,0,1
1,3.53,1,9,5,0,2,0,0,4.33,2.85,3,0,0,4,1
0,10.45,1,2,5,1,1,0,0,11.45,18.05,1,1,3,0,0
0,15.62,0,3,3,1,4,0,9,9.43,18.24,1,1,1,1,1
1,3.47,5,2,2,0,1,0,4,5.23,5.93,0,0,0,1,1
1,16.87,1,4,3,1,0,1,0,6.95,25.38,1,0,0,0,1
1,8.52,4,1,4,0,1,0,8,1.41,14.19,3,0,0,0,2
1,1.43,0,2,5,0,1,0,5,4.49,2.09,3,0,0,2,0
1,2.07,1,7,9,0,1,0,2,3.39,2.55,1,0,0,2,1
1,8.48,4,2,5,0,3,2,3,2.74,23.63,3,0,0,0,3
0,4.5,1,0,5,0,1,1,9,6.39,3.59,8,0,0,0,1
1,5.72,2,2,7,1,0,0,1,5.73,6.16,3,0,0,0,0
0,17.51,1,8,3,0,1,0,0,23.62,20.28,3,1,5,1,1
1,7.56,2,2,8,1,0,0,8,4.88,11.75,1,1,0,0,0
1,6.24,0,3,5,0,6,0,9,5.8,7.25,3,0,0,0,2
0,12.01,1,2,6,0,0,0,0,2.61,13.71,1,0,0,0,2
0,7.42,0,9,5,1,5,0,10,6.45,12.37,0,0,0,0,0
0,8.66,1,1,1,0,1,0,1,5.05,19.91,1,1,0,0,0
0,6.66,0,2,5,1,5,0,9,9.84,23.65,1,0,0,0,0
0,6.01,0,5,5,0,4,0,0,12.75,13.41,3,0,0,0,1
1,3.79,5,2,5,0,2,0,2,5.64,4.14,3,0,0,1,0
1,2.24,0,8,8,0,0,0,4,2.68,4.77,0,0,0,1,0
1,3.41,2,9,3,0,1,1,2,3.46,2.55,1,0,0,2,0
